p_name,p_type,p_org,cf_id
,,,
Christopher Merwin,guest participant,Goldman Sachs,4392927
,,,
Calvin Chu,guest participant,Morgan Stanley,4392927
,,,
Luv Sodha,guest participant,Jefferies,4392927
,,,
Joseph Vafi,guest participant,Canaccord Genuity,4392927
,,,
Scott Berg,guest participant,Needham & Co.,4392927
,,,
Robert Cicero,General Counsel,"Smith & Wesson Brands, Inc. ",4392925
,,,
Mark Smith,CEO,"Smith & Wesson Brands, Inc. ",4392925
,,,
Deana McPherson,CFO,"Smith & Wesson Brands, Inc. ",4392925
,,,
Scott Stember,guest participant,CL King,4392925
,,,
Steve Dyer,guest participant,Craig-Hallum,4392925
,,,
Mark Smith,guest participant,Lake Street Capital,4392925
,,,
Rommel Dionisio,guest participant,Aegis Capital,4392925
,,,
Scott McCrery,guest participant,Cowen,4392925
,,,
James Hardiman,guest participant,Wedbush Securities,4392925
,,,
Kiley Rawlins,"Vice President, Investor Relations","Ulta Beauty, Inc. ",4392919
,,,
Mary Dillon,Chief Executive Officer,"Ulta Beauty, Inc. ",4392919
,,,
Scott Settersten,Chief Financial Officer,"Ulta Beauty, Inc. ",4392919
,,,
Dave Kimbell,President,"Ulta Beauty, Inc. ",4392919
,,,
Erinn Murphy,guest participant,Piper Sandler,4392919
,,,
Joe Altobello,guest participant,Raymond James,4392919
,,,
Oliver Chen,guest participant,Cowen,4392919
,,,
Rupesh Parikh,guest participant,Oppenheimer,4392919
,,,
Simeon Siegel,guest participant,BMO Capital Markets,4392919
,,,
Mark Altschwager,guest participant,Baird,4392919
,,,
Ashish Saran,"VP, IR",Marvell Technology Group Ltd. ,4392917
,,,
Matt Murphy,President and CEO,Marvell Technology Group Ltd. ,4392917
,,,
Jean Hu,CFO,Marvell Technology Group Ltd. ,4392917
,,,
Toshiya Hari,guest participant,Goldman Sachs,4392917
,,,
Vivek Arya,guest participant,Bank of America Merrill Lynch,4392917
,,,
Timothy Arcuri,guest participant,UBS,4392917
,,,
C. J. Muse,guest participant,Evercore,4392917
,,,
Blayne Curtis,guest participant,Barclays,4392917
,,,
John Pitzer,guest participant,Credit Suisse,4392917
,,,
Ross Seymore,guest participant,Deutsche Bank,4392917
,,,
Tore Svanberg,guest participant,Stifel,4392917
,,,
Harlan Sur,guest participant,JP Morgan,4392917
,,,
Christopher Rolland,guest participant,Susquehanna,4392917
,,,
Srini Pajjuri,guest participant,SMBC,4392917
,,,
Carolyn David,"VP, Finance","Altigen Communications, Inc. ",4392915
,,,
Jerry Fleming,President & CEO,"Altigen Communications, Inc. ",4392915
,,,
Mark Allen,Chief Technology Officer,"Altigen Communications, Inc. ",4392915
,,,
Joe Hamblin,Vice President and General Manager,"Altigen Communications, Inc. ",4392915
,,,
Ian Castle,guest participant,MicroCapClub,4392915
,,,
Yuka Broderick,"Head, IR","Yext, Inc. ",4392913
,,,
Howard Lerman,CEO,"Yext, Inc. ",4392913
,,,
Steve Cakebread,CFO,"Yext, Inc. ",4392913
,,,
David Rudnitsky,Chief Revenue Officer,"Yext, Inc. ",4392913
,,,
Patrick Blair,Chief Revenue Officer,"Yext, Inc. ",4392913
,,,
Arjun Bhatia,guest participant,William Blair,4392913
,,,
Naved Khan,guest participant,Truist Securities,4392913
,,,
Matt Coss,guest participant,J.P. Morgan,4392913
,,,
Rohit Kulkarni,guest participant,MKM Partners,4392913
,,,
Mark Mahaney,guest participant,RBC Capital Markets,4392913
,,,
Chad Schoening,guest participant,Oppenheimer,4392913
,,,
Ryan McDonald,guest participant,Needham & Co.,4392913
,,,
Tom White,guest participant,DA Davidson,4392913
