p_name,p_type,p_org,cf_id
Jon Braatz,guest participant,Kansas City Capital,4393928
,,,
John Deysher,guest participant,Pinnacle,4393928
,,,
Eric Cerny,IR,GameStop Corp. ,4393729
,,,
George Sherman,CEO,GameStop Corp. ,4393729
,,,
Jim Bell,EVP & CFO,GameStop Corp. ,4393729
,,,
Ashley Helgans,guest participant,Jefferies,4393729
,,,
Colin Sebastian,guest participant,Robert W. Baird,4393729
,,,
William Reuter,guest participant,Bank of America,4393729
,,,
Joe Feldman,guest participant,Telsey Advisory Group,4393729
,,,
Seth Sigman,guest participant,Credit Suisse,4393729
,,,
Curtis Nagle,guest participant,Bank of America,4393729
,,,
Steven Gitlin,Chief Marketing Officer and Vice President of Investor Relations,"AeroVironment, Inc. ",4393726
,,,
Wahid Nawabi,President and Chief Executive Officer,"AeroVironment, Inc. ",4393726
,,,
Kevin McDonnell,SVP and Chief Financial Officer,"AeroVironment, Inc. ",4393726
,,,
Ken Herbert,guest participant,Canaccord Genuity,4393726
,,,
Pete Skibitski,guest participant,Alembic Global Advisors,4393726
,,,
Peter Arment,guest participant,Baird,4393726
,,,
Joseph De Nardi,guest participant,"Stifel, Nicolaus & Company",4393726
,,,
Louie DiPalma,guest participant,William Blair,4393726
,,,
Leslie Garber,"Manager, IR",Oil-Dri Corporation of America ,4393708
,,,
Laura Scheland,General Counsel and Secretary,Oil-Dri Corporation of America ,4393708
,,,
Dan Jaffee,President and CEO,Oil-Dri Corporation of America ,4393708
,,,
Molly VandenHeuvel,COO,Oil-Dri Corporation of America ,4393708
,,,
Susan Kreh,CFO,Oil-Dri Corporation of America ,4393708
,,,
Jessica Moskowitz,"VP, General Manager, Consumer Products Division",Oil-Dri Corporation of America ,4393708
,,,
Fred Kao,"VP, Global Sales, Amlan International",Oil-Dri Corporation of America ,4393708
,,,
William Rhodes,"Chairman, President and Chief Executive Officer","AutoZone, Inc. ",4393704
,,,
William Giles,Executive Vice President and Chief Financial Officer,"AutoZone, Inc. ",4393704
,,,
Jamere Jackson,Executive Vice President and Chief Financial Officer-elect,"AutoZone, Inc. ",4393704
,,,
Bret Jordan,guest participant,Jefferies LLC,4393704
,,,
Simeon Gutman,guest participant,Morgan Stanley,4393704
,,,
Christopher Horvers,guest participant,JPMorgan Chase & Co.,4393704
,,,
Michael Lasser,guest participant,UBS Investment Bank,4393704
,,,
Matthew McClintock,guest participant,"Raymond James & Associates, Inc.",4393704
,,,
Chris Witty,Investor Relations,"Star Group, L.P. ",4393701
,,,
Jeff Woosnam,Chief Executive Officer,"Star Group, L.P. ",4393701
,,,
Rich Ambury,Chief Financial Officer,"Star Group, L.P. ",4393701
,,,
Michael Prouting,guest participant,10K Capital,4393701
,,,
Tim Mullen,guest participant,Laurelton Management,4393701
,,,
Norm Miller,CEO,"Conn's, Inc. ",4393694
,,,
Lee Wright,COO,"Conn's, Inc. ",4393694
,,,
George Bchara,CFO,"Conn's, Inc. ",4393694
,,,
Rick Nelson,guest participant,Stephens,4393694
,,,
Brad Thomas,guest participant,KeyBanc Capital Markets,4393694
,,,
Brian Nagel,guest participant,Oppenheimer & Company,4393694
,,,
Ryan Carr,guest participant,Jefferies,4393694
,,,
Bill Ryan,guest participant,Compass Point,4393694
,,,
Brian Campbell,Vice President of Investor Relations,"John Wiley & Sons, Inc. ",4393687
,,,
Brian Napack,President & Chief Executive Officer,"John Wiley & Sons, Inc. ",4393687
,,,
John Kritzmacher,Chief Financial Officer,"John Wiley & Sons, Inc. ",4393687
,,,
Daniel Moore,guest participant,CJS Securities,4393687
,,,
Sami Kassab,guest participant,Exane BNP,4393687
,,,
Greg Pendy,guest participant,Sidoti,4393687
,,,
Matilda Derezano,guest participant,Barclays,4393687
,,,
Matthew Walker,guest participant,Credit Suisse,4393687
,,,
Daniel Moore,guest participant,CJS Securities,4393687
,,,
Neal Nackman,Chief Financial Officer & Treasurer,"G-III Apparel Group, Ltd. ",4393678
,,,
Morris Goldfarb,Chairman & Chief Executive Officer,"G-III Apparel Group, Ltd. ",4393678
,,,
Edward Yruma,guest participant,"KeyBanc Capital Markets, Inc.",4393678
,,,
Erinn Murphy,guest participant,Piper Sandler & Co.,4393678
,,,
Heather Balsky,guest participant,Bank of America,4393678
,,,
Jim Duffy,guest participant,"Stifel, Nicolaus & Co., Inc.",4393678
,,,
Jay Sole,guest participant,UBS,4393678
,,,
Susan Anderson,guest participant,"B. Riley FBR, Inc.",4393678
,,,
Steve Marotta,guest participant,C.L. King & Associates,4393678
,,,
Dana Telsey,guest participant,Telsey Advisory Group LLC,4393678
,,,
Lawson Whiting,President and CEO,Brown-Forman Corporation ,4393663
,,,
Jane Morreau,EVP and CFO,Brown-Forman Corporation ,4393663
,,,
Leanne Cunningham,"SVP, Shareholder Relations Officer",Brown-Forman Corporation ,4393663
,,,
Steve Powers,guest participant,Deutsche Bank,4393663
,,,
Sean King,guest participant,UBS,4393663
,,,
Lauren Lieberman,guest participant,Barclays,4393663
,,,
Peter Grom,guest participant,JP Morgan,4393663
,,,
Bonnie Herzog,guest participant,Goldman Sachs,4393663
,,,
Kevin Grundy,guest participant,Jefferies,4393663
,,,
Douglas Yearley,Chairman & Chief Executive Officer,"Toll Brothers, Inc. ",4393662
,,,
Marty Connor,Chief Financial Officer,"Toll Brothers, Inc. ",4393662
,,,
Fred Cooper,Senior VP of Finance and Investor Relations,"Toll Brothers, Inc. ",4393662
,,,
Wendy Marlett,Chief Marketing Officer,"Toll Brothers, Inc. ",4393662
,,,
Gregg Ziegler,Senior VP and Treasurer,"Toll Brothers, Inc. ",4393662
,,,
Stephen Kim,guest participant,Evercore ISI,4393662
,,,
Truman Patterson,guest participant,Wells Fargo,4393662
,,,
Alan Ratner,guest participant,Zelman & Associates,4393662
,,,
Michael Rehaut,guest participant,JPMorgan,4393662
,,,
Anthony Pettinari,guest participant,Citi,4393662
,,,
Mike Dahl,guest participant,RBC Capital Markets,4393662
,,,
John Lovallo,guest participant,Bank of America Merrill Lynch,4393662
,,,
Susan Maklari,guest participant,Goldman Sachs,4393662
,,,
Ken Zener,guest participant,KeyBanc,4393662
,,,
Jade Rahmani,guest participant,KBW,4393662
,,,
Jack Micenko,guest participant,SIG,4393662
,,,
Matt Bouley,guest participant,Barclays,4393662
,,,
Alex Barron,guest participant,Housing Research Center,4393662
,,,
John Mills,ICR,"Alico, Inc. ",4393652
,,,
John Kiernan,President and CEO,"Alico, Inc. ",4393652
,,,
Rich Rallo,CFO,"Alico, Inc. ",4393652
,,,
Julie Davis,"Senior Director, IR","Liquidity Services, Inc. ",4393645
,,,
William Angrick,"Co-founder, Chairman & CEO","Liquidity Services, Inc. ",4393645
,,,
Jorge Celaya,EVP & CFO,"Liquidity Services, Inc. ",4393645
,,,
Gary Prestopino,guest participant,Barrington Research Associates,4393645
,,,
Dalton Kern,guest participant,Robert W. Baird & Co.,4393645
,,,
Matt Micowski,"VP, IR and Financial Planning and Analysis",Cantel Medical Corp. ,4393632
,,,
George Fotiades,CEO,Cantel Medical Corp. ,4393632
,,,
Chuck Diker,Chairman,Cantel Medical Corp. ,4393632
,,,
Shaun Blakeman,SVP and CFO,Cantel Medical Corp. ,4393632
,,,
Peter Clifford,EVP and COO,Cantel Medical Corp. ,4393632
,,,
Seth Yellin,"EVP, Strategy and Corporate Development",Cantel Medical Corp. ,4393632
,,,
Brian Capone,"SVP, Corporate Controller and Chief Accounting Officer",Cantel Medical Corp. ,4393632
,,,
Matt Mishan,guest participant,KeyBanc Capital Markets,4393632
,,,
Larry Keusch,guest participant,Raymond James,4393632
,,,
Mike Matson,guest participant,Needham & Company,4393632
,,,
Larry Solow,guest participant,CJS Securities,4393632
,,,
Mitra Ramgopal,guest participant,Sidoti,4393632
,,,
Michael Cherny,guest participant,Bank of America,4393632
,,,
Andy Milevoj,IR,"Barnes & Noble Education, Inc. ",4393631
,,,
Mike Huseby,Chairman and CEO,"Barnes & Noble Education, Inc. ",4393631
,,,
Tom Donohue,CFO,"Barnes & Noble Education, Inc. ",4393631
,,,
Jonathan Shar,"EVP, BNED Retail and Client Solutions","Barnes & Noble Education, Inc. ",4393631
,,,
Lisa Malat,"President, Barnes & Noble College","Barnes & Noble Education, Inc. ",4393631
,,,
David Henderson,"President, MBS","Barnes & Noble Education, Inc. ",4393631
,,,
Ryan MacDonald,guest participant,Needham,4393631
,,,
Alex Fuhrman,guest participant,Craig-Hallum Capital,4393631
,,,
Brian Johnson,"SVP, Investor Relations and Business Development","Casey's General Stores, Inc. ",4393624
,,,
Darren Rebelez,President and Chief Executive Officer,"Casey's General Stores, Inc. ",4393624
,,,
Steve Bramlage,Chief Financial Officer,"Casey's General Stores, Inc. ",4393624
,,,
Karen Short,guest participant,Barclays,4393624
,,,
Ben Bienvenu,guest participant,Stephens Inc,4393624
,,,
Bobby Griffin,guest participant,Raymond James,4393624
,,,
Bonnie Herzog,guest participant,Goldman Sachs,4393624
,,,
Paul Trussell,guest participant,Deutsche Bank,4393624
,,,
Kelly Bania,guest participant,BMO Capital Markets,4393624
,,,
Matt Fishbein,guest participant,Jefferies,4393624
,,,
Anthony Lebiedzinski,guest participant,Sidoti & Company,4393624
,,,
Irene Nattel,guest participant,RBC Capital Markets,4393624
,,,
Brian McNamara,guest participant,Berenberg Capital,4393624
,,,
Chuck Cerankosky,guest participant,Northcoast Research,4393624
,,,
