cf_id,cf_title,cd_date,cf_time,cf_qnum,cf_year,cf_ticker
4393364,"AstroNova, Inc. (ALOT) CEO Greg Woods on Q3 2021 Results - Earnings Call Transcript",12/7/2020,9:00:00,3,none,ALOT
,,,,,,
4393332,Huazhu Group Limited (HTHT) CEO Ji Qi on Q3 2020 Results - Earnings Call Transcript,12/6/2020,20:00:00,3,2020,HTHT
,,,,,,
4393144,Afya Limited (AFYA) CEO Virgilio Gibbon on Q3 2020 Results - Earnings Call Transcript,12/4/2020,10:00:00,3,none,AFYA
,,,,,,
4393139,"Culp, Inc. (CULP) CEO Iv Culp on Q2 2021 Results - Earnings Call Transcript",12/4/2020,11:00:00,2,2021,CULP
,,,,,,
4393052,"Big Lots, Inc. (BIG) CEO Bruce Thorn on Q3 2020 Results - Earnings Call Transcript",12/4/2020,8:00:00,3,2020,BIG
,,,,,,
4393040,Genesco Inc. (GCO) CEO Mimi Vaughn on Q3 2021 Results - Earnings Call Transcript,12/4/2020,8:30:00,3,2021,GCO
,,,,,,
4393037,"MIND Technology, Inc.'s (MIND) CEO Rob Capps on Q3 2021 Results - Earnings Call Transcript",12/4/2020,9:00:00,3,2021 Results,MIND
,,,,,,
4393034,"RGC Resources, Inc. (RGCO) CEO Paul Nester on Q4 2020 Results - Earnings Call Transcript",12/4/2020,9:00:00,4,2020,RGCO
,,,,,,
4392970,Zumiez Inc. (ZUMZ) CEO Rick Brooks on Q3 2020 Results - Earnings Call Transcript,12/3/2020,17:00:00,3,2020 Results,ZUMZ
,,,,,,
4392969,"Medallia, Inc. (MDLA) CEO Leslie Stretch on Q3 2021 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2021,MDLA
,,,,,,
4392938,"Cloudera, Inc. (CLDR) CEO Rob Bearden on Q3 2021 Results - Earnings Call Transcript",00-00-00,0:00:00,none,none,none
,,,,,,
4392936,"DocuSign, Inc. (DOCU) CEO Dan Springer on Q3 2021 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2021,DOCU
,,,,,,
4392935,"PagerDuty, Inc. (PD) CEO Jennifer Tejada on Q3 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2021,PD
,,,,,,
4392932,"Domo, Inc. (DOMO) CEO Joshua James on Q3 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2021,DOMO
,,,,,,
4392930,"The Cooper Companies, Inc. (COO) CEO Al White on Q4 2020 Results - Earnings Call Transcript",12/3/2020,17:00:00,4,2020,COO
,,,,,,
4392927,"Zuora, Inc. (ZUO) CEO Tien Tzuo on Q3 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2021 Results,ZUO
,,,,,,
4392925,"Smith & Wesson Brands, Inc. (SWBI) CEO Mark Smith on Q2 2021 Results - Earnings Call Transcript",12/3/2020,17:00:00,2,2021,SWBI
,,,,,,
4392919,"Ulta Beauty, Inc.'s (ULTA) CEO Mary Dillon on Q3 2020 Results - Earnings Call Transcript",12/3/2020,17:00:00,3,2020 Results,ULTA
,,,,,,
4392917,Marvell Technology Group Ltd. (MRVL) CEO Matt Murphy on Q3 2021 Results - Earnings Call Transcript,12/3/2020,16:45:00,3,2021,MRVL
,,,,,,
4392915,"Altigen Communications, Inc. (ATGN) CEO Jerry Fleming on Q4 2020 Results - Earnings Call Transcript",12/3/2020,17:00:00,4,2020,ATGN
,,,,,,
4392913,"Yext, Inc. (YEXT) CEO Howard Lerman on Q3 2021 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2021,YEXT
,,,,,,
4392911,"Tilly's, Inc. (TLYS) CEO Ed Thomas on Q3 2020 Results - Earnings Call Transcript",12/3/2020,16:30:00,3,2020,TLYS
,,,,,,
4392903,IDT Corporation's (IDT) CEO Shmuel Jonas on Q1 2021 Results - Earnings Call Transcript,12/3/2020,17:30:00,1,2021,IDT
